평점,리뷰
5.0,다시보니 스타크 부부가 아주 명을 재촉한다 관조적으로 보고싶은데 산사가 엄마빠한테 말대답을 할때마다 혈압이 오른다
4.5,진짜? 다 죽는다고? 에이 설마...
5.0,선정성과 폭력성이 몰입에 도움이 되는 좋은 예.
2.0,인생 드라마
5.0,탄탄한 스토리인것 같지만 너어어어어무 지루하다. 2편까지 보고 더이상 못보겠음.
4.5,이제야 시작.... 처음 시작할 때에 잘못 다운받은줄;;
4.0,꿀잼
4.0,"영어 공부 좀 할까해서봤는데
정말 ... 영어는 모르겠고 
신나게 보기만 했다"
5.0,죄다 죽여버리니 원...
5.0,시즌1보고 최애캐만들기에는 시즌마다 매력적인 캐릭터가 계속나와요 애정쏟아부을 캐릭터는 계속 나옵니다 +내최애캐가 언제어떻게죽을지 긴장하면서 보는것도 나름 재밌어요 반전을즐깁시다!
2.5,인간은 죽음 앞에 평등하다.
4.0,언제 재밌어짐?
5.0,"인물의 죽음으로 이루어지는 탄탄한 이야기의 시작.
많은 인물 덕에 꼬인 스토리로 시작이 어려워 몇 번이나 다시 보기를 반복해 결국 그 재미를 깨닫기 3주가 걸렸다. ^^;;"
보는 중,영화보다 좋은 드라마의 예
4.5,"언제 끝날지 모르지만 2021.7.25 정주행 시작
-
에피 1, 2
배경도 예쁘고 브랜든도 늑대 새끼들도 너무 귀엽다..
세상 제일 예쁜 동생 팔아먹고 신난 놈 죽이고 싶다..^^
서자 난쟁이 근친 참수 살인 온갖 인간사 다 나오는구나
티리온 처음엔 비호감이었는데 두뇌 딕션 인성 최고"
4.5,짱 재밌다..방문을 걸어 잠그고 봐야 한다는 것만 빼면 완벽해..
4.5,"중세물, 판타지, 정치극, 세계관 창조, 전략, 미남자... 이 요소들 하나하나의 덕후인 나를 흥분시키는 선물같은 드라마. 2013년에 시즌1 정주행 한 뒤에 완결날 때 까지 7년이나 기다리고 잘 아껴놨다. 물론 몰아보기 할 때는 이 꼴 날 줄 알았지. (2020.4)"
5.0,"조프리 습색히
존 스노우랑 임프 핵간즤"
4.0,시작부터 멘붕 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4.0,"이제 시작. 어떤 피의 복수가 시작되고 누가 살아남고 누가 죽을까...

시즌2는 11월에~~

왓챠"
4.5,소름끼치게 리얼한 연출 특히 영웅이나 주인공같은 사람들이 사소한 사건으로 목숨을 잃는 프레임은 정말 현실같고 신선했다. 물량으로 승부하는 헐리우드 전쟁영화가 아닌 스토리에 집중하게 만드는 작품
3.0,개인에서 역사로 역사에서 다시 개인으로 돌아오는 그 장엄한 기록의 여정~ 결국 모든 삶은 가치가 있다
5.0,도대체 뭐가 재밌는지 내 타입은 아닌 듯 ㅜㅠ 2화인가 3화까지인가 보고 도저히 흥미를 못 느껴서 하차했당..
3.5,새로운 장르에 눈을 뜨다 !
4.0,거대한 세계관의 시작을 너무 늦게 시작한게 후회되지만. 지금부터 보는 재미가 솔솔.  시리즈를 관통하여. 고고.
4.5,나는 왜 지루할까...ㅜ
4.0,최애 정한지 2화만에 최애가 죽는 기이한 현상
4.0,중세판타지물을 그닥 좋아하지 않는데도 빠져들게  만드네. 내가 왕좌의 게임에 참여했다면 튜토리얼도 못 깨고 급사했을 듯
